"Отметка времени","Ваша дата рождения (напишите в формате типа ""12 февраля"")","Ваш факультет (сокращенно, например ФИТ)
Если не учились в НГУ, поставьте прочерк","Пол","Меня злит или раздражает что-то почти каждый день","Мои друзья и знакомые часто страдают от моей вспыльчивости
.","Когда я разозлюсь, я могу потерять контроль над собой"
"2024/02/24 4:02:50 PM GMT+7","29 марта ","Фит ","","8","3","2"
"2024/02/24 4:03:53 PM GMT+7","4 июня","ФИТ","","8","1","2"
"2024/02/24 4:06:05 PM GMT+7","30 августа","ГИ","Женский","3","1","5"
"2024/02/24 4:06:10 PM GMT+7","10 июля","ФиПЛ","Женский","7","4","2"
"2024/02/24 4:06:20 PM GMT+7","8 сентября","ГИ","Женский","6","4","7"
"2024/02/24 4:07:40 PM GMT+7","12 августа ","ГИ","Женский","7","8","6"
"2024/02/24 4:07:45 PM GMT+7","21 июля","ФИПЛ","Женский","3","2","2"
"2024/02/24 4:07:46 PM GMT+7","12 ноября","ГИ","Мужской","8","4","9"
"2024/02/24 4:07:52 PM GMT+7","22 января","ФИТ","Мужской","2","6","2"
"2024/02/24 4:08:28 PM GMT+7","18 августа","ФИТ","Мужской","5","3","3"
"2024/02/24 4:08:56 PM GMT+7","28 марта ","ЭФ","Женский","8","1","1"
"2024/02/24 4:09:13 PM GMT+7","25 апреля","ГИ","Женский","7","7","6"
"2024/02/24 4:09:14 PM GMT+7","14 февраля","ГИ (фипл)","Женский","7","3","4"
"2024/02/24 4:09:21 PM GMT+7","8 марта","ФФ ","Мужской","3","1","1"
"2024/02/24 4:09:50 PM GMT+7","25 июля","ММФ","Мужской","4","3","3"
"2024/02/24 4:09:55 PM GMT+7","10 марта","ГГФ","Женский","3","1","1"
"2024/02/24 4:10:12 PM GMT+7","12 марта","ГИ","Женский","4","3","1"
"2024/02/24 4:10:49 PM GMT+7","7 ноября ","ФиПЛ","Мужской","8","4","2"
"2024/02/24 4:12:28 PM GMT+7","20 октября","ФИТ","Мужской","5","3","2"
"2024/02/24 4:12:37 PM GMT+7","11 марта","ФИТ","Женский","6","7","7"
"2024/02/24 4:13:05 PM GMT+7","29 апреля ","ГИ","Женский","6","1","1"
"2024/02/24 4:13:07 PM GMT+7","18 декабря ","ММФ","Мужской","4","2","4"
"2024/02/24 4:13:36 PM GMT+7","-","-","","10","10","10"
"2024/02/24 4:13:56 PM GMT+7"," 12 февраля","Фит","Мужской","5","2","1"
"2024/02/24 4:14:10 PM GMT+7","17 июня","ГИ","Женский","10","10","10"
"2024/02/24 4:15:50 PM GMT+7","10 февраля","ГИ","Мужской","7","3","2"
"2024/02/24 4:16:22 PM GMT+7","21 июля","ММФ","Мужской","3","2","6"
